PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
27910,27910,0,2,2,2050478.0,2050478.0,108260,3992696,2746711.0,1997782.5,1997782.5,8105,3987460,2813828.9,49991.5,49991.5,2612,97371,67004.7,2704.0,2704.0,2624,2784,113.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
27910,27910,0,4,3,1593908.0,117661.0,33405,6106905,3008963.0,1524698.0,6460.5,4484,6081387,3037793.1,17558.0,4506.0,3496,44672,23486.8,56069.8,55934.0,24415,87996,35860.3,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
27910,27910,0,1,1,1087976.0,1087976.0,1087976,1087976,0.0,1082987.0,1082987.0,1082987,1082987,0.0,2333.0,2333.0,2333,2333,0.0,2656.0,2656.0,2656,2656,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
27910,27910,0,2,2,670791.5,670791.5,36818,1304765,896573.9,643444.5,643444.5,7059,1279830,899985.0,5236.0,5236.0,2728,7744,3546.8,22111.0,22111.0,22015,22207,135.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
27910,27910,0,2,2,266138.5,266138.5,11225,521052,360502.1,245095.0,245095.0,4741,485449,339911.9,18659.5,18659.5,4084,33235,20612.9,2384.0,2384.0,2368,2400,22.6,cudaLaunchKernel,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
27910,27910,0,6,6,152576.8,81659.0,23732,569273,206840.1,99214.3,8041.0,3653,561088,226283.7,25785.2,13932.0,1625,65445,28783.2,27577.3,34622.0,6560,37534,13421.7,cudaLaunchKernel,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::Half, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
27910,27910,0,2,2,146620.5,146620.5,71402,221839,106375.0,18633.5,18633.5,3476,33791,21435.9,95012.0,95012.0,34135,155889,86093.1,32975.0,32975.0,32159,33791,1154.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
27910,27910,0,2,2,96350.5,96350.5,79217,113484,24230.4,25492.5,25492.5,3000,47985,31809.2,42171.5,42171.5,3873,80470,54162.3,28686.5,28686.5,27359,30014,1877.4,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(signed char) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
27910,27910,0,2,2,89023.5,89023.5,48573,129474,57205.6,11486.0,11486.0,2623,20349,12534.2,53362.5,53362.5,4033,102692,69762.4,24175.0,24175.0,24159,24191,22.6,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(signed char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
27910,27910,0,4,4,81486.0,82240.0,56290,105174,26379.8,19449.8,7503.5,3854,58938,26408.7,16926.3,6882.0,894,53047,24560.6,45110.0,44926.0,44158,46430,1098.4,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
27910,27910,0,3,3,40661.3,41292.0,16810,63882,23542.3,11727.7,10429.0,3457,21297,8990.6,26534.0,35659.0,4141,39802,19503.2,2399.7,2240.0,2176,2783,333.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
27910,27910,0,2,2,31421.0,31421.0,23348,39494,11416.9,12890.0,12890.0,3807,21973,12845.3,2755.5,2755.5,1973,3538,1106.6,15775.5,15775.5,13983,17568,2535.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
