Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
47.8,3238279,12,269856.6,248682.0,241801,444237,57500.8,rank4/dspark_eager/B1_K7_V4096_R64
20.9,1417767,12,118147.3,42470.0,41594,916974,251740.4,rank3/dense_sdpa/S2048
13.3,901951,12,75162.6,61343.0,60416,157150,29672.8,rank3/paged_fp16/S2048/split8
10.3,700815,12,58401.3,53253.0,52189,76960,9536.0,rank3/paged_int8/S2048/split8
7.6,514611,12,42884.3,38025.0,37304,87044,14036.9,rank4/dspark_graph/B1_K7_V4096_R64
